pubob_id,key_name,category,native_unit,description,relevant,value_type,frequency,publication_time,ingested_at,updated_at
PUBOB1,shrinkage_nts_quantity_bought,Shrinkage,kWh,"Shrinkage, NTS, Quantity Bought",True,flow,Daily,10:00,2026-07-07T13:00:27.429105+00:00,2026-07-07T13:00:27.429105+00:00
PUBOB10,shrinkage_nts_minimum_price_sold,Shrinkage,p/kWh,"Shrinkage, NTS, Minimum Price, Sold",True,flow,Daily,10:00,2026-07-07T13:00:27.429105+00:00,2026-07-07T13:00:27.429105+00:00
PUBOB10000,exit_capacity_availability_daily_off_peak_available_staythorpe_nts_power_station,Exit Capacity,KWh,"Exit Capacity Availability, Daily Off-peak Available, Staythorpe, NTS Power Station",True,capacity,ASAP,ASAP,2026-07-07T13:00:27.429105+00:00,2026-07-07T13:00:27.429105+00:00
PUBOB10001,exit_capacity_availability_daily_off_peak_available_suttonbridge_nts_power_stati,Exit Capacity,KWh,"Exit Capacity Availability, Daily Off-peak Available, SuttonBridge, NTS Power Station",True,capacity,ASAP,ASAP,2026-07-07T13:00:27.429105+00:00,2026-07-07T13:00:27.429105+00:00
PUBOB10002,exit_capacity_availability_daily_off_peak_available_thorntoncurt_nts_power_stati,Exit Capacity,KWh,"Exit Capacity Availability, Daily Off-peak Available, ThorntonCurt, NTS Power Station",True,capacity,ASAP,ASAP,2026-07-07T13:00:27.429105+00:00,2026-07-07T13:00:27.429105+00:00
PUBOB10003,exit_capacity_availability_daily_off_peak_available_tilbury_nts_power_station,Exit Capacity,KWh,"Exit Capacity Availability, Daily Off-peak Available, Tilbury, NTS Power Station",True,capacity,ASAP,ASAP,2026-07-07T13:00:27.429105+00:00,2026-07-07T13:00:27.429105+00:00
PUBOB10004,exit_capacity_availability_daily_off_peak_available_westburton_nts_power_station,Exit Capacity,KWh,"Exit Capacity Availability, Daily Off-peak Available, Westburton, NTS Power Station",True,capacity,ASAP,ASAP,2026-07-07T13:00:27.429105+00:00,2026-07-07T13:00:27.429105+00:00
PUBOB10005,exit_capacity_availability_daily_off_peak_available_willington_nts_power_station,Exit Capacity,KWh,"Exit Capacity Availability, Daily Off-peak Available, Willington, NTS Power Station",True,capacity,ASAP,ASAP,2026-07-07T13:00:27.429105+00:00,2026-07-07T13:00:27.429105+00:00
PUBOB10006,exit_capacity_availability_daily_off_peak_available_winnington_nts_power_station,Exit Capacity,KWh,"Exit Capacity Availability, Daily Off-peak Available, Winnington, NTS Power Station",True,capacity,ASAP,ASAP,2026-07-07T13:00:27.429105+00:00,2026-07-07T13:00:27.429105+00:00
PUBOB10007,exit_capacity_availability_daily_off_peak_available_wyreps_nts_power_station,Exit Capacity,KWh,"Exit Capacity Availability, Daily Off-peak Available, Wyreps, NTS Power Station",True,capacity,ASAP,ASAP,2026-07-07T13:00:27.429105+00:00,2026-07-07T13:00:27.429105+00:00
PUBOB10008,exit_capacity_availability_daily_off_peak_available_barrowblackstart_industrial_,Exit Capacity,KWh,"Exit Capacity Availability, Daily Off-peak Available, BarrowBlackstart, Industrial Offtake",True,capacity,ASAP,ASAP,2026-07-07T13:00:27.429105+00:00,2026-07-07T13:00:27.429105+00:00
PUBOB10009,exit_capacity_availability_daily_off_peak_available_bass_industrial_offtake,Exit Capacity,KWh,"Exit Capacity Availability, Daily Off-peak Available, BASS, Industrial Offtake",True,capacity,ASAP,ASAP,2026-07-07T13:00:27.429105+00:00,2026-07-07T13:00:27.429105+00:00
PUBOB1001,entry_capacity_hole_house_form_ons_sd_highest_within_day_buyback_price,Entry Capacity,p/kWh,"Entry Capacity, Hole House Form ONS SD, Highest Within Day Buyback Price",True,capacity,ASAP,ASAP,2026-07-07T13:00:27.429105+00:00,2026-07-07T13:00:27.429105+00:00
PUBOB10010,exit_capacity_availability_daily_off_peak_available_blackburnm_industrial_offtak,Exit Capacity,KWh,"Exit Capacity Availability, Daily Off-peak Available, BlackburnM, Industrial Offtake",True,capacity,ASAP,ASAP,2026-07-07T13:00:27.429105+00:00,2026-07-07T13:00:27.429105+00:00
PUBOB10011,exit_capacity_availability_daily_off_peak_available_boctees_industrial_offtake,Exit Capacity,KWh,"Exit Capacity Availability, Daily Off-peak Available, BOCTees, Industrial Offtake",True,capacity,ASAP,ASAP,2026-07-07T13:00:27.429105+00:00,2026-07-07T13:00:27.429105+00:00
PUBOB10012,exit_capacity_availability_daily_off_peak_available_bpgrngmouth_industrial_offta,Exit Capacity,KWh,"Exit Capacity Availability, Daily Off-peak Available, BPGrngmouth, Industrial Offtake",True,capacity,ASAP,ASAP,2026-07-07T13:00:27.429105+00:00,2026-07-07T13:00:27.429105+00:00
PUBOB10013,exit_capacity_availability_daily_off_peak_available_bpsaltendhp_industrial_offta,Exit Capacity,KWh,"Exit Capacity Availability, Daily Off-peak Available, BPSaltendHP, Industrial Offtake",True,capacity,ASAP,ASAP,2026-07-07T13:00:27.429105+00:00,2026-07-07T13:00:27.429105+00:00
