settlement_date,settlement_period,fuel_type,generation_mw,start_time,publish_time,gas_day,ingested_at,updated_at
2026-07-07,29,BIOMASS,1386,2026-07-07T13:00:00Z,2026-07-07T13:30:00Z,2026-07-07,2026-07-07T13:34:26.011025+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-07,29,CCGT,2140,2026-07-07T13:00:00Z,2026-07-07T13:30:00Z,2026-07-07,2026-07-07T13:34:26.011025+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-07,29,COAL,0,2026-07-07T13:00:00Z,2026-07-07T13:30:00Z,2026-07-07,2026-07-07T13:34:26.011025+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-07,29,INTELEC,898,2026-07-07T13:00:00Z,2026-07-07T13:30:00Z,2026-07-07,2026-07-07T13:34:26.011025+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-07,29,INTEW,-264,2026-07-07T13:00:00Z,2026-07-07T13:30:00Z,2026-07-07,2026-07-07T13:34:26.011025+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-07,29,INTFR,1708,2026-07-07T13:00:00Z,2026-07-07T13:30:00Z,2026-07-07,2026-07-07T13:34:26.011025+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-07,29,INTGRNL,0,2026-07-07T13:00:00Z,2026-07-07T13:30:00Z,2026-07-07,2026-07-07T13:34:26.011025+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-07,29,INTIFA2,702,2026-07-07T13:00:00Z,2026-07-07T13:30:00Z,2026-07-07,2026-07-07T13:34:26.011025+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-07,29,INTIRL,-454,2026-07-07T13:00:00Z,2026-07-07T13:30:00Z,2026-07-07,2026-07-07T13:34:26.011025+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-07,29,INTNED,1018,2026-07-07T13:00:00Z,2026-07-07T13:30:00Z,2026-07-07,2026-07-07T13:34:26.011025+00:00,2026-07-07T13:34:26.011025+00:00
2026-07-07,29,INTNEM,704,2026-07-07T13:00:00Z,2026-07-07T13:30:00Z,2026-07-07,2026-07-07T13:34:26.011025+00:00,2026-07-07T13:34:26.011025+00:00
